source,title,company,work_format,requirements,salary,salary_num,req_len,is_remote,source_code
Habr Career,Аналитик данных - стажер (Data Governance),МТС Банк,Офис / Гибрид,SQL,140000,140000.0,1,0,0
Habr Career,Эксперт Data Science,МТС Банк,Офис / Гибрид,"Python, Алгоритмы и структуры данных",270000,270000.0,2,0,0
Habr Career,Стажер в Data направление,КОРУС Консалтинг,Офис / Гибрид,"SQL, Python, Базы данных, Анализ данных",220000,220000.0,4,0,0
Habr Career,DevOps-инженер (стажер),МТС Банк,Офис / Гибрид,"Linux, DevOps, Bash",180000,180000.0,3,0,0
Habr Career,JavaScript разработчик (стажер),Aston,Офис / Гибрид,"JavaScript, TypeScript, React, HTML, CSS, Адаптивная верстка, Кроссбраузерная верстка, Веб-разработка, SCSS, Redux",150000,150000.0,10,0,0
Habr Career,Стажёр в управление проектами,ИТ-компания «Лоция»,Офис / Гибрид,"Работа в команде, Управление проектами, PMBOK",280000,280000.0,3,0,0
Habr Career,Ночной стажер технической поддержки,IBS,Офис / Гибрид,Техническая поддержка,140000,140000.0,1,0,0
Habr Career,Стажер-инженер данных BI (Data Engineer),ИТ-компания «Лоция»,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных",260000,260000.0,3,0,0
Habr Career,Стажер AI-разработчик,AGIMA,Офис / Гибрид,"Git, Linux, Python, LLM",300000,300000.0,4,0,0
Habr Career,Data Scientist,Лига Цифровой Экономики,Офис / Гибрид,Python,180000,180000.0,1,0,0
Habr Career,Стажер Специалист центра мониторинга информационной безопасности,ИТ-компания «Лоция»,Офис / Гибрид,"Информационная безопасность, Администрирование Windows, TCP",180000,180000.0,3,0,0
Habr Career,Java разработчик с нуля (стажер),Aston,Офис / Гибрид,"Java, Hibernate, MySQL, PostgreSQL, Git, Java Spring Framework, ООП, SQL, Apache Kafka, Kubernetes",от 52 000 ₽,52000.0,10,0,0
Habr Career,"Младший разработчик (Big Data, хранилище данных)",IBS,Офис / Гибрид,SQL,от 30 000 до 40 800 ₽,35400.0,1,0,0
Habr Career,Системный аналитик (Junior/Junior+),Солар,Офис / Гибрид,"Git, Английский язык, Системный анализ, Техническая документация",310000,310000.0,4,0,0
Habr Career,Эксперт Data Science,МТС Банк,Офис / Гибрид,"Python, Алгоритмы и структуры данных",140000,140000.0,2,0,0
Habr Career,Data Scientist,Лига Цифровой Экономики,Офис / Гибрид,Python,270000,270000.0,1,0,0
Habr Career,Data Engineer/ MLOpsE,Bell Integrator,Офис / Гибрид,"Python, Apache Hadoop, DWH, Apache Airflow, Apache Spark, Greenplum, ETL, CI/CD",220000,220000.0,8,0,0
