source,title,company,work_format,requirements,salary
Habr Career,Аналитик данных - стажер (Data Governance),МТС Банк,Офис / Гибрид,SQL,140000
Habr Career,Эксперт Data Science,МТС Банк,Офис / Гибрид,"Python, Алгоритмы и структуры данных",270000
Habr Career,Стажер в Data направление,КОРУС Консалтинг,Офис / Гибрид,"SQL, Python, Базы данных, Анализ данных",220000
Habr Career,DevOps-инженер (стажер),МТС Банк,Офис / Гибрид,"Linux, DevOps, Bash",180000
Habr Career,JavaScript разработчик (стажер),Aston,Офис / Гибрид,"JavaScript, TypeScript, React, HTML, CSS, Адаптивная верстка, Кроссбраузерная верстка, Веб-разработка, SCSS, Redux",150000
Habr Career,Стажёр в управление проектами,ИТ-компания «Лоция»,Офис / Гибрид,"Работа в команде, Управление проектами, PMBOK",280000
Habr Career,Ночной стажер технической поддержки,IBS,Офис / Гибрид,Техническая поддержка,140000
Habr Career,Стажер-инженер данных BI (Data Engineer),ИТ-компания «Лоция»,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных",260000
Habr Career,Стажер AI-разработчик,AGIMA,Офис / Гибрид,"Git, Linux, Python, LLM",300000
Habr Career,Data Scientist,Лига Цифровой Экономики,Офис / Гибрид,Python,180000
Habr Career,Стажер Специалист центра мониторинга информационной безопасности,ИТ-компания «Лоция»,Офис / Гибрид,"Информационная безопасность, Администрирование Windows, TCP",180000
Habr Career,Java разработчик с нуля (стажер),Aston,Офис / Гибрид,"Java, Hibernate, MySQL, PostgreSQL, Git, Java Spring Framework, ООП, SQL, Apache Kafka, Kubernetes",310000
Habr Career,"Младший разработчик (Big Data, хранилище данных)",IBS,Офис / Гибрид,SQL,280000
Habr Career,Системный аналитик (Junior/Junior+),Солар,Офис / Гибрид,"Git, Английский язык, Системный анализ, Техническая документация",110000
Habr Career,Эксперт Data Science,МТС Банк,Офис / Гибрид,"Python, Алгоритмы и структуры данных",150000
Habr Career,Data Scientist,Лига Цифровой Экономики,Офис / Гибрид,Python,310000
Habr Career,Data Engineer/ MLOpsE,Bell Integrator,Офис / Гибрид,"Python, Apache Hadoop, DWH, Apache Airflow, Apache Spark, Greenplum, ETL, CI/CD",100000
Habr Career,Data Scientist,Top Selection,Офис / Гибрид,Python,290000
Habr Career,Data Engineer,Альфа-Банк,Офис / Гибрид,"Python, Apache Hadoop, Apache Spark, Apache Airflow, Apache Kafka, FastAPI",280000
Habr Career,Data engineer,Top Selection,Офис / Гибрид,Java,90000
Habr Career,Data engineer,Top Selection,Офис / Гибрид,Python,310000
Habr Career,Data инженер,Action tech,Офис / Гибрид,"Python, SQL, Apache Airflow, Greenplum, Apache Superset, PostgreSQL",190000
Habr Career,Data Engineering Manager,Циан,Офис / Гибрид,"DWH, Apache Hadoop, Python, Apache Spark, Greenplum",130000
Habr Career,Data Engineer,Top Selection,Офис / Гибрид,"Apache Hadoop, ETL",90000
Habr Career,MLOps | DataOps,GRI,Офис / Гибрид,"DWH, PostgreSQL, ClickHouse, Apache Airflow",280000
Habr Career,Разработчик GreenData,Top Selection,Офис / Гибрид,"SQL, Алгоритмы, Groovy",80000
Habr Career,"Data Analyst (Big Data, ETL, Python, SQL)",Группа Rubytech,Офис / Гибрид,"Базы данных, Python, SQL, Большие данные, Анализ данных, ETL, Greenplum",190000
Habr Career,Data analyst,ИТ-компания «Лоция»,Офис / Гибрид,PostgreSQL,290000
Habr Career,Data Scientist ,Фарпост,Офис / Гибрид,"Deep Learning, SQL, Python",190000
Habr Career,Аналитик данных - стажер (Data Governance),МТС Банк,Офис / Гибрид,SQL,240000
Habr Career,Data Steward/Менеджер по данным,"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Базы данных, Алгоритмы и структуры данных",170000
Habr Career,Data Engineer (команда RecSys),Okko,Офис / Гибрид,"Apache Spark, Apache Airflow, ClickHouse, SQL, Python",230000
Habr Career,Middle / Senior Data Engineer DWH,CHOICEIT,Офис / Гибрид,"Python, PostgreSQL, Greenplum, DWH, Apache Spark, ETL, Apache Airflow, Apache Kafka",220000
Habr Career,Middle / Senior Data Engineer DWH,CHOICEIT,Офис / Гибрид,"Python, PostgreSQL, Greenplum, Apache Spark, Apache Airflow, DWH, ETL, Apache Kafka",220000
