source,title,company,city,work_format,requirements,salary,link
Habr Career,Эксперт Data Science,МТС Банк,Не указан,Офис / Гибрид,"Python, Алгоритмы и структуры данных",,https://career.habr.com/vacancies/1000167272
Habr Career,Data Scientist,Лига Цифровой Экономики,Не указан,Офис / Гибрид,Python,,https://career.habr.com/vacancies/1000166824
Habr Career,Data Engineer/ MLOpsE,Bell Integrator,Не указан,Офис / Гибрид,"Python, Apache Hadoop, DWH, Apache Airflow, Apache Spark, Greenplum, ETL, CI/CD",,https://career.habr.com/vacancies/1000166671
Habr Career,Data Scientist,Top Selection,Не указан,Офис / Гибрид,Python,от 300 000 до 320 000 ₽,https://career.habr.com/vacancies/1000167841
Habr Career,Data Engineer,Альфа-Банк,Не указан,Офис / Гибрид,"Python, Apache Hadoop, Apache Spark, Apache Airflow, Apache Kafka, FastAPI",,https://career.habr.com/vacancies/1000168441
Habr Career,Data engineer,Top Selection,Не указан,Офис / Гибрид,Java,от 250 000 до 270 000 ₽,https://career.habr.com/vacancies/1000168277
Habr Career,Data engineer,Top Selection,Не указан,Офис / Гибрид,Python,от 350 000 до 370 000 ₽,https://career.habr.com/vacancies/1000168519
Habr Career,Data инженер,Action tech,Не указан,Офис / Гибрид,"Python, SQL, Apache Airflow, Greenplum, Apache Superset, PostgreSQL",,https://career.habr.com/vacancies/1000126902
Habr Career,Data Engineering Manager,Циан,Не указан,Офис / Гибрид,"DWH, Apache Hadoop, Python, Apache Spark, Greenplum",,https://career.habr.com/vacancies/1000168372
Habr Career,Data Engineer,Top Selection,Не указан,Офис / Гибрид,"Apache Hadoop, ETL",,https://career.habr.com/vacancies/1000167921
Habr Career,MLOps | DataOps,GRI,Не указан,Офис / Гибрид,"DWH, PostgreSQL, ClickHouse, Apache Airflow",,https://career.habr.com/vacancies/1000167104
Habr Career,Разработчик GreenData,Top Selection,Не указан,Офис / Гибрид,"SQL, Алгоритмы, Groovy",от 230 000 до 250 000 ₽,https://career.habr.com/vacancies/1000168179
Habr Career,"Data Analyst (Big Data, ETL, Python, SQL)",Группа Rubytech,Не указан,Офис / Гибрид,"Базы данных, Python, SQL, Большие данные, Анализ данных, ETL, Greenplum",,https://career.habr.com/vacancies/1000167711
Habr Career,Data analyst,ИТ-компания «Лоция»,Не указан,Офис / Гибрид,PostgreSQL,,https://career.habr.com/vacancies/1000165271
Habr Career,Data Scientist ,Фарпост,Не указан,Офис / Гибрид,"Deep Learning, SQL, Python",,https://career.habr.com/vacancies/1000165669
Habr Career,Аналитик данных - стажер (Data Governance),МТС Банк,Не указан,Офис / Гибрид,SQL,,https://career.habr.com/vacancies/1000167268
Habr Career,Data Steward/Менеджер по данным,"АстраЗенека, Россия и Евразия",Не указан,Офис / Гибрид,"Базы данных, Алгоритмы и структуры данных",,https://career.habr.com/vacancies/1000160859
Habr Career,Data Engineer (команда RecSys),Okko,Не указан,Офис / Гибрид,"Apache Spark, Apache Airflow, ClickHouse, SQL, Python",,https://career.habr.com/vacancies/1000166687
Habr Career,Middle / Senior Data Engineer DWH,CHOICEIT,Не указан,Офис / Гибрид,"Python, PostgreSQL, Greenplum, DWH, Apache Spark, ETL, Apache Airflow, Apache Kafka",,https://career.habr.com/vacancies/1000167389
Habr Career,Middle / Senior Data Engineer DWH,CHOICEIT,Не указан,Офис / Гибрид,"Python, PostgreSQL, Greenplum, Apache Spark, Apache Airflow, DWH, ETL, Apache Kafka",,https://career.habr.com/vacancies/1000167388
Habr Career,Ищем Data Scientist,Top Selection,Не указан,Офис / Гибрид,"Python, SQL",,https://career.habr.com/vacancies/1000168398
Habr Career,Стажер в Data направление,КОРУС Консалтинг,Не указан,Офис / Гибрид,"SQL, Python, Базы данных, Анализ данных",,https://career.habr.com/vacancies/1000167773
Habr Career,Инженер поддержки данных (Data Steward),Cloud.ru,Не указан,Офис / Гибрид,"PostgreSQL, Microsoft SQL",,https://career.habr.com/vacancies/1000167147
Habr Career,Стажер-инженер данных BI (Data Engineer),ИТ-компания «Лоция»,Не указан,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных",,https://career.habr.com/vacancies/1000168355
Habr Career,BI-разработчик / Data-инженер / Проектная работа / АУТСТАФФ,Extyl,Не указан,Офис / Гибрид,"SQL, Python, Apache Airflow, Qlik Sense, QlikView, PowerBI, Tableau",,https://career.habr.com/vacancies/1000166973
Habr Career,Data-инженер,Джетлин,Не указан,Офис / Гибрид,"Python, Pandas, NumPy, Scikit-learn, StatsModels, MatPlotLib",,https://career.habr.com/vacancies/1000167857
Habr Career,Data Scientist,Top Selection,Не указан,Офис / Гибрид,Python,от 220 000 до 240 000 ₽,https://career.habr.com/vacancies/1000168026
Habr Career,Data Scientist,МТС Банк,Не указан,Офис / Гибрид,"SQL, Python",,https://career.habr.com/vacancies/1000167271
Habr Career,Data - аналитик,Top Selection,Не указан,Офис / Гибрид,SQL,от 250 000 до 270 000 ₽,https://career.habr.com/vacancies/1000168593
Habr Career,ML-инженер,Bell Integrator,Не указан,Офис / Гибрид,"Docker, Apache Airflow, Базы данных, MySQL, PostgreSQL, NoSQL",,https://career.habr.com/vacancies/1000167960
Habr Career,Data Scientist (Аудиоаналитика) офис в г. Новосибирск,ROBOTMIA,Не указан,Офис / Гибрид,"Алгоритмы и структуры данных, Docker, Scikit-learn, TensorFlow, ClickHouse, PyTorch, Pandas, Python, SQL",,https://career.habr.com/vacancies/1000168232
Habr Career,MLOps Engineer/Solution Architect,Bell Integrator,Не указан,Офис / Гибрид,"Python, Apache Hadoop, Apache Kafka, CI/CD, Oracle, PostgreSQL, RabbitMQ, Greenplum, Jenkins",,https://career.habr.com/vacancies/1000166691
Habr Career,Продуктовый аналитик в Путешествия,Яндекс,Не указан,Офис / Гибрид,"SQL, Python",,https://career.habr.com/vacancies/1000166002
Habr Career,Data Engineer real-time,PARI,Не указан,Офис / Гибрид,"Apache Airflow, Apache Flink, ClickHouse, SQL, Python, Apache Kafka",,https://career.habr.com/vacancies/1000168044
Habr Career,Data scientist / ML-инженер,IBS,Не указан,Офис / Гибрид,"LLM, NLP",,https://career.habr.com/vacancies/1000168495
Habr Career,Разработчик ETL / Data Engineer,Онлайн-кинотеатр Иви,Не указан,Офис / Гибрид,"Git, ETL, Apache Airflow, ClickHouse, NoSQL, SQL, Python",,https://career.habr.com/vacancies/1000167966
Habr Career,DevOps engineer / System engineer,ЛАНИТ,Не указан,Офис / Гибрид,"CI/CD, Linux, Kubernetes, Базы данных",,https://career.habr.com/vacancies/1000168306
Habr Career,Аналитик ML-моделей / Специалист по контролю качества (валидации) ML-данных,ЛАНИТ,Не указан,Офис / Гибрид,Python,,https://career.habr.com/vacancies/1000167658
Habr Career,"Scala Developer (Hadoop, ETL)",Bell Integrator,Не указан,Офис / Гибрид,"Scala, Apache Hadoop",,https://career.habr.com/vacancies/1000168159
Habr Career,Data QA / Инженер тестирования данных,БЮРО 1440,Не указан,Офис / Гибрид,"DWH, Docker, Apache Airflow, ETL, Apache Spark, ClickHouse, SQL, Python",,https://career.habr.com/vacancies/1000167284
Habr Career,"Младший разработчик (Big Data, хранилище данных)",IBS,Не указан,Офис / Гибрид,SQL,от 30 000 до 40 800 ₽,https://career.habr.com/vacancies/1000168506
Habr Career,Go Developer,Vital Partners,Не указан,Офис / Гибрид,"Golang, PostgreSQL",от 4000 до 4500 $,https://career.habr.com/vacancies/1000168166
Habr Career,Go Architect / Solution Architect,Vital Partners,Не указан,Офис / Гибрид,Golang,до 8000 €,https://career.habr.com/vacancies/1000168197
Habr Career,Инженер-программист 1С,Oxygen Data Centers & Clouds,Не указан,Офис / Гибрид,Разработка под 1С,,https://career.habr.com/vacancies/1000168457
Habr Career,Дизайнер продукта,Oxygen Data Centers & Clouds,Не указан,Офис / Гибрид,"Figma Design, Scrum, UI/UX дизайн",,https://career.habr.com/vacancies/1000168417
Habr Career,Инженер поддержки клиентов облачной платформы,Oxygen Data Centers & Clouds,Не указан,Офис / Гибрид,"VMWare ESXi, Vmware vSphere, Linux, Unix, Администрирование Windows",,https://career.habr.com/vacancies/1000168413
Habr Career,Pre-sale инженер (Cloud),Oxygen Data Centers & Clouds,Не указан,Офис / Гибрид,"VMware, Hyper-V, Citrix",,https://career.habr.com/vacancies/1000168412
