company,work_format,requirements,salary_num
Фарпост,Офис / Гибрид,"Deep Learning, SQL, Python",
Лига Цифровой Экономики,Офис / Гибрид,Python,
Top Selection,Офис / Гибрид,Python,310000
Top Selection,Офис / Гибрид,"Python, SQL",
Top Selection,Офис / Гибрид,Python,230000
МТС Банк,Офис / Гибрид,"SQL, Python",
Альфа-Банк,Офис / Гибрид,"Python, Apache Hadoop, Apache Spark, Apache Airflow, Apache Kafka, FastAPI",
IBS,Офис / Гибрид,"LLM, NLP",
Top Selection,Офис / Гибрид,Java,260000
Top Selection,Офис / Гибрид,Python,360000
Action tech,Офис / Гибрид,"Python, SQL, Apache Airflow, Greenplum, Apache Superset, PostgreSQL",
Циан,Офис / Гибрид,"DWH, Apache Hadoop, Python, Apache Spark, Greenplum",
Top Selection,Офис / Гибрид,"Apache Hadoop, ETL",
GRI,Офис / Гибрид,"DWH, PostgreSQL, ClickHouse, Apache Airflow",
Top Selection,Офис / Гибрид,"SQL, Алгоритмы, Groovy",240000
Группа Rubytech,Офис / Гибрид,"Базы данных, Python, SQL, Большие данные, Анализ данных, ETL, Greenplum",
ИТ-компания «Лоция»,Офис / Гибрид,PostgreSQL,
Bell Integrator,Офис / Гибрид,"Python, Apache Hadoop, DWH, Apache Airflow, Apache Spark, Greenplum, ETL, CI/CD",
МТС Банк,Офис / Гибрид,SQL,
"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Базы данных, Алгоритмы и структуры данных",
Okko,Офис / Гибрид,"Apache Spark, Apache Airflow, ClickHouse, SQL, Python",
CHOICEIT,Офис / Гибрид,"Python, PostgreSQL, Greenplum, DWH, Apache Spark, ETL, Apache Airflow, Apache Kafka",
CHOICEIT,Офис / Гибрид,"Python, PostgreSQL, Greenplum, Apache Spark, Apache Airflow, DWH, ETL, Apache Kafka",
Bell Integrator,Офис / Гибрид,"Python, Apache Hadoop, Apache Kafka, CI/CD, Oracle, PostgreSQL, RabbitMQ, Greenplum, Jenkins",
Cloud.ru,Офис / Гибрид,"PostgreSQL, Microsoft SQL",
ИТ-компания «Лоция»,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных",
Extyl,Офис / Гибрид,"SQL, Python, Apache Airflow, Qlik Sense, QlikView, PowerBI, Tableau",
Джетлин,Офис / Гибрид,"Python, Pandas, NumPy, Scikit-learn, StatsModels, MatPlotLib",
Top Selection,Офис / Гибрид,SQL,260000
Vital Partners,Офис / Гибрид,Английский язык,
МТС Банк,Офис / Гибрид,"Python, Алгоритмы и структуры данных",
PARI,Офис / Гибрид,"Apache Airflow, Apache Flink, ClickHouse, SQL, Python, Apache Kafka",
Онлайн-кинотеатр Иви,Офис / Гибрид,"Git, ETL, Apache Airflow, ClickHouse, NoSQL, SQL, Python",
БЮРО 1440,Офис / Гибрид,"DWH, Docker, Apache Airflow, ETL, Apache Spark, ClickHouse, SQL, Python",
Джетлин,Офис / Гибрид,"Python, Apache Airflow, SQL, PostgreSQL, Greenplum, Git",150000
IBS,Офис / Гибрид,SQL,35400
Oxygen Data Centers & Clouds,Офис / Гибрид,Разработка под 1С,
Oxygen Data Centers & Clouds,Офис / Гибрид,"Figma Design, Scrum, UI/UX дизайн",
Oxygen Data Centers & Clouds,Офис / Гибрид,"VMWare ESXi, Vmware vSphere, Linux, Unix, Администрирование Windows",
Oxygen Data Centers & Clouds,Офис / Гибрид,"VMware, Hyper-V, Citrix",
Oxygen Data Centers & Clouds,Офис / Гибрид,"Администрирование Windows, Linux, Active directory",
Extyl,Офис / Гибрид,"SQL, DWH",
Альфа-Банк,Офис / Гибрид,"Python, ClickHouse, CI/CD, Apache Kafka, Apache Spark, ETL, Машинное обучение",
МТС Web Services,Офис / Гибрид,"Kubernetes, Terraform",
Marfatech,Офис / Гибрид,"Agile, Jira, Confluence",
Cloud.ru,Офис / Гибрид,"SQL, LLM",
Storygold AI,Офис / Гибрид,Python,1000
ГНИВЦ,Офис / Гибрид,"Java, Scala, Linux, Apache Spark, Apache Hadoop",
Cloud.ru,Офис / Гибрид,"DWH, LLM",
Bell Integrator,Офис / Гибрид,"Docker, Apache Airflow, Базы данных, MySQL, PostgreSQL, NoSQL",
СберЗдоровье,Офис / Гибрид,"SQL, Python",
Лига Цифровой Экономики,Офис / Гибрид,Apache Hadoop,
YADRO,Офис / Гибрид,"Linux, Алгоритмы, Алгоритмы и структуры данных, Linux kernel, C",
Aston,Офис / Гибрид,"Python, Большие данные, Apache Hadoop, Apache Spark, SQL, Базы данных",
Aston,Офис / Гибрид,LLM,
Okko,Офис / Гибрид,"Objective-С, Swift",
МТС Банк,Офис / Гибрид,"REST, SQL, SOAP, UML, BPMN",
МегаФон,Офис / Гибрид,"Управление людьми, Построение команды, Управление разработкой",
Top Selection,Офис / Гибрид,Базы данных,260000
БФТ - Холдинг,Офис / Гибрид,"Java, Spring Boot, RabbitMQ, Git, PostgreSQL",
Вкусно - и точка,Офис / Гибрид,SQL,
YoloPrice,Офис / Гибрид,"Python, REST, CI/CD, Базы данных, Разработка программного обеспечения, Google Cloud Platform, Redis",420000
Top Selection,Офис / Гибрид,"Python, NLP, LLM, LangChain, SQL",280000
CINIMEX,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных, PostgreSQL, Базы данных, Apache Kafka",
ЛАНИТ,Офис / Гибрид,Python,
НЛ Континент,Офис / Гибрид,"Управление разработкой, Agile",
Bell Integrator,Офис / Гибрид,"Java, Apache Kafka, Blockchain",
Top Selection,Офис / Гибрид,"1C: ERP, Разработка под 1С",280000
СберЗдоровье,Офис / Гибрид,"Java, Python",
ИТ-Холдинг Т1,Офис / Гибрид,Java,
Джетлин,Офис / Гибрид,"SQL, BI, ClickHouse, Tableau, DWH, Greenplum",
"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Agile, Scrum, Управление проектами",
Bell Integrator,Офис / Гибрид,"SQL, Python, PostgreSQL",
Extyl,Офис / Гибрид,Java,
Bell Integrator,Офис / Гибрид,"SQL, Apache Hadoop, DWH, Microsoft Excel, Анализ данных",
Sortage,Офис / Гибрид,"SEO-оптимизация, Разработка SEO-стратегии, Google Search Console, Яндекс.Метрика, Screaming Frog, Ahrefs, Semrush, Notion",
МТС Банк,Офис / Гибрид,"DWH, Oracle PL/SQL, SQL, Oracle",
ITK academy,Офис / Гибрид,"Java, Kotlin, Git, Docker, Java Spring Framework, Apache Kafka, RabbitMQ",75000
МТС Банк,Офис / Гибрид,"Linux, DevOps, Bash",
Лига Цифровой Экономики,Офис / Гибрид,"SQL, DWH",
Bell Integrator,Офис / Гибрид,"Linux, Apache Kafka, Kubernetes",
МТС Банк,Офис / Гибрид,"React, HTML, TypeScript",
VK,Офис / Гибрид,"Управление проектами, Построение команды, Управление продуктами, A/B тестирование",
СберЗдоровье,Офис / Гибрид,LLM,
Яндекс,Офис / Гибрид,"SQL, Python",
CHOICEIT,Офис / Гибрид,"NumPy, Python, PyTorch, Машинное обучение",
Extyl,Офис / Гибрид,".NET, C#, .NET Core, SQL",
СОГАЗ,Офис / Гибрид,"SQL, Python",
RSD,Офис / Гибрид,"PHP, RabbitMQ, PostgreSQL, ClickHouse, PostGIS, Laravel",275000
Bell Integrator,Офис / Гибрид,"DevOps, SRE",
ANCOR,Офис / Гибрид,"Интернет маркетинг, Работа в команде",
ANCOR,Офис / Гибрид,"Email маркетинг, Интернет маркетинг",
ANCOR,Офис / Гибрид,"Email маркетинг, Интернет маркетинг",
МТС Банк,Офис / Гибрид,"Kotlin, Spring Boot, Java, SQL, Apache Kafka",
МегаФон,Офис / Гибрид,Управление продуктами,
МегаФон,Офис / Гибрид,LLM,
Bell Integrator,Офис / Гибрид,"Python, LLM, LangChain",
ANCOR,Офис / Гибрид,"Работа в команде, Информационные технологии",
ANCOR,Офис / Гибрид,"Работа в команде, Информационные технологии",
Bell Integrator,Офис / Гибрид,"SQL, Python, ETL, DWH",
ТТК Диджитал,Офис / Гибрид,"PHP, Высоконагруженные системы, ООП, PostgreSQL, Oracle, Docker, Swagger, Разработка CRM, Базы данных, JavaScript",
ДОМ.РФ,Офис / Гибрид,Java,
Лига Цифровой Экономики,Офис / Гибрид,"Nginx, Linux, Информационные технологии, Kubernetes, Apache Kafka",
CINIMEX,Офис / Гибрид,Разработка ТЗ,
Яндекс,Офис / Гибрид,NLP,
Bell Integrator,Офис / Гибрид,"Scala, Apache Hadoop",
Лига Цифровой Экономики,Офис / Гибрид,"Spring Boot, Docker, Java, Kubernetes, Apache Kafka, Jenkins",
Navio,Офис / Гибрид,"Python, Алгоритмы и структуры данных, Большие данные, Машинное обучение, Deep Learning, Нейронные сети, PyTorch, Компьютерное зрение",
Bell Integrator,Офис / Гибрид,"SQL, Python, Apache Spark, Apache Hadoop",
Яндекс,Офис / Гибрид,"Java, Apache Kafka, PostgreSQL, Kubernetes, Redis, Kotlin, ClickHouse, Greenplum",
VK,Офис / Гибрид,"SQL, Python",
IT_One,Офис / Гибрид,"Apache Hadoop, Apache Spark, ETL, REST, Apache Kafka, CI/CD",
АМА,Офис / Гибрид,"Python, Git, Docker, SQL",350000
СОГАЗ,Офис / Гибрид,"QlikView, SQL, Python",
Авито,Офис / Гибрид,"Java, Apache Flink, Apache Kafka, DWH, Python, Kubernetes",500000
Aston,Офис / Гибрид,"1C: ERP, Высоконагруженные системы",
Джетлин,Офис / Гибрид,"Kubernetes, Apache Airflow, Redis, Prometheus, LLM, NLP, A/B тестирование, Python",
Cloud.ru,Офис / Гибрид,CI/CD,
Aston,Офис / Гибрид,"Apache Kafka, Microsoft SQL Server, ASP.NET WEB API, .NET",
Aston,Офис / Гибрид,"SQL, Базы данных, Python, Pandas, Tableau, PowerBI",
СберСпасибо,Офис / Гибрид,JavaScript,
