source,title,company,city,work_format,requirements,salary,link
Habr Career,Аналитик данных - стажер (Data Governance),МТС Банк,Не указан,Офис / Гибрид,SQL,,https://career.habr.com/vacancies/1000167268
Habr Career,Эксперт Data Science,МТС Банк,Не указан,Офис / Гибрид,"Python, Алгоритмы и структуры данных",,https://career.habr.com/vacancies/1000167272
Habr Career,Стажер в Data направление,КОРУС Консалтинг,Не указан,Офис / Гибрид,"SQL, Python, Базы данных, Анализ данных",,https://career.habr.com/vacancies/1000167773
Habr Career,DevOps-инженер (стажер),МТС Банк,Не указан,Офис / Гибрид,"Linux, DevOps, Bash",,https://career.habr.com/vacancies/1000167264
Habr Career,JavaScript разработчик (стажер),Aston,Не указан,Офис / Гибрид,"JavaScript, TypeScript, React, HTML, CSS, Адаптивная верстка, Кроссбраузерная верстка, Веб-разработка, SCSS, Redux",,https://career.habr.com/vacancies/1000167022
Habr Career,Стажёр в управление проектами,ИТ-компания «Лоция»,Не указан,Офис / Гибрид,"Работа в команде, Управление проектами, PMBOK",,https://career.habr.com/vacancies/1000168346
Habr Career,Ночной стажер технической поддержки,IBS,Не указан,Офис / Гибрид,Техническая поддержка,,https://career.habr.com/vacancies/1000168598
Habr Career,Стажер-инженер данных BI (Data Engineer),ИТ-компания «Лоция»,Не указан,Офис / Гибрид,"SQL, Python, Алгоритмы и структуры данных",,https://career.habr.com/vacancies/1000168355
Habr Career,Data Scientist,Лига Цифровой Экономики,Не указан,Офис / Гибрид,Python,,https://career.habr.com/vacancies/1000166824
Habr Career,Стажер AI-разработчик,AGIMA,Не указан,Офис / Гибрид,"Git, Linux, Python, LLM",,https://career.habr.com/vacancies/1000167929
Habr Career,Стажер Специалист центра мониторинга информационной безопасности,ИТ-компания «Лоция»,Не указан,Офис / Гибрид,"Информационная безопасность, Администрирование Windows, TCP",,https://career.habr.com/vacancies/1000168437
Habr Career,Java разработчик с нуля (стажер),Aston,Не указан,Офис / Гибрид,"Java, Hibernate, MySQL, PostgreSQL, Git, Java Spring Framework, ООП, SQL, Apache Kafka, Kubernetes",от 52 000 ₽,https://career.habr.com/vacancies/1000165249
Habr Career,"Младший разработчик (Big Data, хранилище данных)",IBS,Не указан,Офис / Гибрид,SQL,от 30 000 до 40 800 ₽,https://career.habr.com/vacancies/1000168506
Habr Career,Системный аналитик (Junior/Junior+),Солар,Не указан,Офис / Гибрид,"Git, Английский язык, Системный анализ, Техническая документация",,https://career.habr.com/vacancies/1000167200
